country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,event_date
Uganda,Africa,172157,8,3632,0,100431,68086,0,3012444,48432863,3554.0,75.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Luxembourg,Europe,391232,0,1232,0,0,390000,0,4587146,642371,609044.0,1918.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Uzbekistan,Asia,253672,10,1637,0,241486,10539,23,1377952,34382084,7378.0,48.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Cayman Islands,North America,31473,1,37,0,8553,22882,1,222774,67277,467797.0,550.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Trinidad and Tobago,North America,191496,0,4390,0,187078,28,0,913290,1406585,136143.0,3121.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Mauritius,Africa,43025,0,1051,0,41278,696,0,358675,1274727,33752.0,824.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Holy See (Vatican City State),Europe,30,1,0,0,29,0,0,0,799,36295.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Vietnam,Asia,11625263,68,43206,0,10640971,941018,0,85826560,98953541,117481.0,437.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Tuvalu,Australia-Oceania,2944,1,1,0,0,2942,0,0,12066,243909.0,83.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Ghana,Africa,171910,21,1462,0,170425,2,0,2541657,32395450,5306.0,45.0,1755946217304,2025-08-23 18:50:17,2025-08-23
New Zealand,Australia-Oceania,2621111,0,5697,0,2613791,1623,0,7768604,4898203,535117.0,1163.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Nauru,Australia-Oceania,5394,1,1,0,5347,45,0,20509,10903,494635.0,92.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Macedonia,Europe,350568,1,9976,0,337068,3523,0,2226218,2081304,168436.0,4793.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Costa Rica,North America,1238887,4,9428,0,0,1229455,0,4659759,5182354,239058.0,1819.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Somalia,Africa,27341,7,1361,0,13182,12791,0,400484,16841795,1623.0,81.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Austria,Europe,6081291,4,22542,0,6054934,3811,0,211273527,9066710,670727.0,2486.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Tokelau,Australia-Oceania,80,0,0,0,0,80,0,1,1378,58055.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Bermuda,North America,18861,1,165,0,18685,10,0,1029558,61939,304493.0,2664.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Saint Kitts and Nevis,North America,6608,1,48,0,6559,0,0,126958,53871,122645.0,891.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Germany,Europe,38829004,9,183028,1,38240600,405368,0,122332471,83883596,462891.0,2182.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Mali,Africa,33165,1,743,0,32332,89,0,804911,21473764,1544.0,35.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Guinea-Bissau,Africa,9615,1,177,0,8929,508,6,145232,2063367,4659.0,86.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Burundi,Africa,54730,9,38,0,53569,1114,0,345752,12624840,4334.0,3.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Oman,Asia,399449,0,4628,0,0,394821,0,25000004,5323993,75028.0,869.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Taiwan,Asia,10241524,1,19005,0,10222518,0,0,30742324,23888595,428720.0,796.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Sierra Leone,Africa,7781,2,126,0,0,7653,0,259958,8306436,937.0,15.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Congo,Africa,25376,1,386,0,24006,983,0,347818,5797805,4377.0,67.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Belgium,Europe,4861698,3,34376,0,4826798,521,0,37454185,11668278,416659.0,2946.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Bahamas,North America,38085,1,844,0,36366,874,1,257840,400516,95087.0,2107.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Saudi Arabia,Asia,841475,6,9646,0,0,831823,0,45481758,35844909,23475.0,269.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Ireland,Europe,1734585,3,9491,0,1724921,170,19,13083455,5020199,345521.0,1891.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Moldova,Europe,635147,2,12218,0,0,622927,0,3216307,4013171,158265.0,3044.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Lebanon,Asia,1243843,5,10952,0,1087587,145299,74,4795583,6684849,186068.0,1638.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Finland,Europe,1516117,0,11958,0,1503989,170,0,12108978,5554960,272930.0,2153.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Turkey,Asia,17232067,1,102174,0,0,17129892,0,162743373,85561976,201399.0,1194.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Senegal,Africa,89059,6,1971,0,87024,58,0,1146557,17653671,5044.0,112.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Bulgaria,Europe,1339856,5,38748,0,1292944,8159,22,11671047,6844597,195753.0,5661.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Timor-Leste,Asia,23461,1,138,0,23102,220,0,278529,1369429,17131.0,101.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Saint Pierre Miquelon,North America,3452,0,2,0,2449,1001,0,25401,5759,599410.0,347.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Liechtenstein,Europe,21574,0,94,0,0,21480,0,112458,38387,562013.0,2449.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Gabon,Africa,49051,0,307,0,48674,70,0,1621909,2331533,21038.0,132.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Thailand,Asia,4770151,2,34587,1,4692636,42927,0,17273476,70078203,68069.0,494.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Diamond Princess,,712,0,13,0,699,0,0,0,0,0.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Latvia,Europe,982505,0,6715,0,971406,4384,0,7885794,1848837,531418.0,3632.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Bolivia,South America,1212132,1,22407,0,1177145,12579,220,2710262,11992656,101073.0,1868.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Chad,Africa,7712,11,194,0,4874,2633,0,191345,17413580,442.0,11.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Sint Maarten,North America,11051,0,92,0,10905,54,0,62057,43966,251353.0,2093.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Lao People's Democratic Republic,Asia,218971,1,758,0,0,218212,0,1233214,7481023,29270.0,101.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Philippines,Asia,4140393,10,66866,2,4067381,6138,0,36102869,112508994,36800.0,594.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Benin,Africa,28042,6,163,0,27847,26,0,604315,12784726,2193.0,13.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Isle of Man,Europe,38009,1,116,0,0,37892,0,150753,85732,443335.0,1353.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Equatorial Guinea,Africa,17230,1,183,0,16907,139,5,365698,1496662,11512.0,122.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Suriname,South America,82588,0,1408,0,0,81180,0,242208,596831,138378.0,2359.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Monaco,Europe,17182,1,67,0,0,17114,0,78646,39783,431868.0,1684.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Guadeloupe,North America,203236,1,1021,0,0,202214,0,938039,399794,508349.0,2554.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Dominican Republic,North America,675893,3,4384,0,671316,190,4,3740929,11056370,61131.0,397.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Falkland Islands (Malvinas),South America,1930,0,0,0,1930,0,0,8633,3539,545352.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Barbados,North America,110579,1,648,0,108647,1283,0,814160,288023,383921.0,2250.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Netherlands,Europe,8635796,10,22992,0,8612599,195,0,25984442,17211447,501747.0,1336.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Antigua and Barbuda,North America,9107,1,146,0,8954,6,0,18902,99509,91509.0,1467.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Macao,Asia,27673,0,123,0,3487,24063,0,7851,667490,41458.0,184.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Caribbean Netherlands,North America,11682,0,38,0,10476,1168,0,30126,26647,438398.0,1426.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Kazakhstan,Asia,1411838,7,13848,0,1383020,14963,24,11575025,19205043,73514.0,721.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Burkina Faso,Africa,22117,3,400,0,21596,118,0,249010,22102838,1001.0,18.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Kyrgyzstan,Asia,206899,2,2991,0,196406,7500,131,1907200,6728271,30750.0,445.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Slovakia,Europe,1877607,2,21224,0,1856381,0,23,7448790,5460193,343872.0,3887.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Gambia,Africa,12626,0,372,0,12189,65,0,155687,2558482,4935.0,145.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Jamaica,North America,156870,1,3756,0,0,153113,0,1183988,2985094,52551.0,1258.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Bhutan,Asia,62698,1,21,0,61564,1112,0,2303734,787941,79571.0,27.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Aruba,North America,44224,0,292,0,42438,1494,2,177886,107609,410969.0,2714.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Kiribati,Australia-Oceania,5085,0,24,0,2703,2358,3,0,123419,41201.0,194.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Samoa,Australia-Oceania,17007,1,31,0,1605,15370,0,187397,202239,84089.0,153.0,1755946217305,2025-08-23 18:50:17,2025-08-23
French Guiana,South America,98041,0,420,0,11254,86367,6,651258,314169,312065.0,1337.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Brunei,Asia,343720,1,225,0,243601,99893,3,717784,445431,771655.0,505.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Mayotte,Africa,42028,1,188,0,0,41839,0,176920,286259,146815.0,657.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Poland,Europe,6662016,25,120598,0,0,6541393,0,39323712,37739785,176524.0,3196.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Ukraine,Europe,5558027,32,112418,0,5445577,0,0,32603826,43192122,128681.0,2603.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Malaysia,Asia,5278421,15,37348,0,5233268,7790,11,68580941,33181072,159079.0,1126.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Cameroon,Africa,125379,0,1974,0,123280,125,0,1751794,27911548,4492.0,71.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Mexico,North America,7702903,94,334958,0,6899865,467986,0,20013937,131562772,58549.0,2546.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Cuba,North America,1115252,1,8530,0,1106660,61,0,14402674,11305652,98645.0,754.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Myanmar,Asia,641894,21,19495,0,620159,2219,0,11711568,55227143,11622.0,353.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Albania,Europe,334864,1,3605,0,330233,1025,0,1941035,2866374,116825.0,1258.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Cook Islands,Australia-Oceania,7204,1,2,0,7150,51,0,19690,17571,409937.0,114.0,1755946217305,2025-08-23 18:50:17,2025-08-23
British Virgin Islands,North America,7393,1,64,0,0,7328,0,107339,30596,241600.0,2092.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Georgia,Asia,1861668,3,17132,0,0,1844533,0,16920080,3968738,469082.0,4317.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Tajikistan,Asia,17787,1,125,0,17264,397,0,5,9957464,1786.0,13.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Czechia,Europe,4759048,7,43517,0,4715206,318,2,57834248,10736784,443246.0,4053.0,1755946217305,2025-08-23 18:50:17,2025-08-23
USA,North America,111820161,79,1219493,6,109814428,786167,940,1186851747,334805269,333985.0,3642.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Qatar,Asia,514526,2,690,0,513687,147,16,4065371,2979915,172664.0,232.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Morocco,Africa,1279012,20,16303,0,0,1262689,0,13001065,37772756,33860.0,432.0,1755946217305,2025-08-23 18:50:17,2025-08-23
N. Korea,Asia,4772814,1,74,0,4772739,0,0,12,25990679,183636.0,3.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Liberia,Africa,8093,3,295,0,7783,12,2,139828,5305117,1525.0,56.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Cambodia,Asia,139110,7,3056,0,136044,3,0,3091434,17168639,8102.0,178.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Brazil,South America,38743964,46,711382,2,36249161,1783377,0,63776340,215353593,179908.0,3303.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Niue,Australia-Oceania,1060,1,0,0,1056,3,0,1,1622,652898.0,0.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Cyprus,Asia,681110,0,1365,0,679745,0,0,9640118,1223387,556741.0,1116.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Palau,Australia-Oceania,6290,0,10,0,6276,4,0,71435,18233,344979.0,548.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Nigeria,Africa,267209,21,3156,1,259953,4080,11,5708994,216746934,1233.0,15.0,1755946217305,2025-08-23 18:50:17,2025-08-23
UK,Europe,24910399,12,232113,1,24678275,0,0,522526495,68497907,363666.0,3389.0,1755946217305,2025-08-23 18:50:17,2025-08-23
Tonga,Australia-Oceania,16950,0,13,0,15638,1299,0,535009,107749,157310.0,121.0,1755946217305,2025-08-23 18:50:17,2025-08-23
